Artist,Birth,Death,Art Title,DoC,Estimate,price,Dimentions,close date,Auction Title
Matta ,Chilean,2002,La forêt,1956,"USD 250,000 – USD 350,000","USD 293,000",(144.8 x 198.1 cm.),28 May 2015,"2015 | LIVE AUCTION 3745
LATIN AMERICAN ART"
Paul Joanovitch ,Austrian,1913,A new thread,0,"GBP 7,000 – GBP 10,000","GBP 20,000",(19 x 12.7 cm.),14 Dec 2017,"2017 | LIVE AUCTION 14235
19TH CENTURY EUROPEAN & ORIENTALIST ART"
Attributed to Vincenzo Brenna ,Florence,1820,Design for a ceiling with grotesque decoration and a central panel of Venus and Psyche (?),0,"GBP 2,000 – GBP 4,000","GBP 5,250",(56.5 x 60.8 cm.),17 Jun 2015,"2015 | LIVE AUCTION 11567
GLEBE HOUSE, MONT PELLIER AND WOODBURY HOUSE: THREE COUNTRY HOUSE COLLECTIONS"
HERMAN HENSTENBURGH ,HOORN,1726,A pot with asters and two seed pods,0,"GBP 4,000 - GBP 6,000","GBP 6,875",(32.3 x 24 cm),27 Jul 2020,"6 Jul - 27 Jul 2020 | Online Auction 18515
Old Master & British Drawings & Watercolours"
CRISTINA BANBAN ,0,0,Dos Modelos (Two Models),2021,"GBP 3,000 – GBP 5,000","GBP 20,000",(105 x 75cm.),2 Jul 2021,"2021 | LIVE AUCTION 20069
POST WAR AND CONTEMPORARY ART DAY SALE"
A PAIR OF LOUIS XV LIGHT BLUE PAINTED FAUTEUILS,96,BAPTISTE,"BY JEAN-BAPTISTE TILLIARD, CIRCA 1765",0,"GBP 20,000 – GBP 40,000","GBP 47,500",0,13 Nov 2019,"2019 | LIVE AUCTION 17185
THE COLLECTOR: EUROPEAN AND ENGLISH FURNITURE, CERAMICS, PORTRAIT MINIATURES & WORKS OF ART"
Michael Ayrton ,1921,1975,Man at anvil,0,"GBP 3,000 – GBP 5,000","GBP 6,875",(21.6 x 29.2 cm.),14 Dec 2012,"2012 | LIVE AUCTION 7751
MODERN BRITISH AND IRISH ART"
A ST LOUIS 'THISTLE PATTERN' GLASS WINE-COOLER,21,COOLER,"20TH CENTURY, ACID ETCHED FACTORY MARK",0,"GBP 800 – GBP 1,200","GBP 1,500",0,13 Dec 2019,"2019 | LIVE AUCTION 17736
PROPERTY FROM DESCENDANTS OF THEIR MAJESTIES KING GEORGE V AND QUEEN MARY"
LOUIS DAVID SAUGY ,1871,1953,"Montée à l'alpage, 1945",0,"CHF 15,000 – CHF 25,000","CHF 18,000",(Lichtmass),30 May 2016,"2016 | LIVE AUCTION 2006
SWISS ART"
A PAIR OF GEORGE III ORMOLU-MOUNTED BLUE-JOHN CASSOLETTES,0,0,"BY MATTHEW BOULTON, CIRCA 1765-70",0,"GBP 12,000 - GBP 18,000","GBP 16,250",0,14 Jul 2020,"24 Jun - 14 Jul 2020 | Online Auction 19591
Let there be Light"
NIKI DE SAINT PHALLE ,1930,2002,Sagittarius vase,0,"EUR 12,000 – EUR 18,000","EUR 26,250",(23¼ x 27½ x 6¼ in.),26 Oct 2013,"2013 | LIVE AUCTION 3536
DAGNY ET JAN RUNNQVIST, GALERIE BONNIER, UN DEMI-SIÈCLE DE PASSION ET D'ENGAGEMENTS ARTISTIQUES"
Gerhard Richter ,1932,0,25.3.08,2008,"GBP 20,000 – GBP 30,000","GBP 56,250",(10 x 15cm.),12 Feb 2015,"2015 | LIVE AUCTION 10338
POST-WAR AND CONTEMPORARY ART DAY AUCTION"
Paul Sieffert ,French,1957,Reclining nude,0,"GBP 2,000 – GBP 2,500","GBP 2,500",(38 x 61.4 cm.),2 May 2014,"2014 | LIVE AUCTION 5613
19TH CENTURY EUROPEAN ART"
Marcel Duchamp ,1887,1968,Tutu,1909,"USD 20,000 – USD 30,000","USD 68,750",(35.2 x 25 cm.),17 Nov 2016,"2016 | LIVE AUCTION 12146
IMPRESSIONIST & MODERN ART WORKS ON PAPER SALE"
Mark Grotjahn ,1968,0,Untitled (Full Color Butterfly Up the Middle White Sides 748),2008,"USD 500,000 – USD 700,000","USD 612,500",(196.9 x 121.3 cm.),16 Nov 2017,"2017 | LIVE AUCTION 14997
POST-WAR & CONTEMPORARY ART AFTERNOON SESSION"
Eduard Schulz-Briesen ,German,Briesen,The Young Artist - School Recess,0,"USD 15,000 – USD 20,000","USD 47,500",(91.4 x 111.8 cm.),23 May 2017,"2017 | LIVE AUCTION 14141
19TH CENTURY EUROPEAN ART"
YAYOI KUSAMA ,0,0,Pumpkin 2000 (Red),2000,"GBP 20,000 - GBP 30,000","GBP 25,000",0,23 Sep 2020,"10 Sep - 23 Sep 2020 | Online Auction 18256
Contemporary Edition"
"Edward William Cooke, R.A. ",1811,1880,"View across the Lagoon, Venice, sunset",0,"GBP 20,000 – GBP 30,000","GBP 22,500",(29.8 x 43.8 cm.),13 Dec 2012,"2012 | LIVE AUCTION 5969
VICTORIAN & BRITISH IMPRESSIONIST ART"
Seth Price ,0,0,"Two For One Piece aka “Global Taste, A Meal in 3 Courses” (Element 1, by Martha Rosler, 1985)",3,"GBP 7,000 – GBP 10,000","GBP 9,375",0,5 Apr 2017,"2017 | LIVE AUCTION 14422
FIRST OPEN"
Pablo Picasso ,1881,1973,Sans titre,0,"GBP 10,000 – GBP 15,000","GBP 17,500",(21.1 x 26.8 cm.),5 Feb 2014,"2014 | LIVE AUCTION 1508
IMPRESSIONIST/MODERN WORKS ON PAPER"
Henry Taylor ,1958,0,Untitled,2004,"GBP 2,000 - GBP 3,000","GBP 2,500",(8.8 x 28.7 x 2.4cm.),19 Sep 2019,"11 Sep - 19 Sep 2019 | Online Auction 17697
First Open | Online"
Georges Hugnet ,1906,1974,Homme qui marche,1940,"EUR 2,000 – EUR 3,000","EUR 1,750",0,1 Dec 2015,"2015 | LIVE AUCTION 12467
UN UNIVERS SURRÉALISTE: SUCCESSION MYRTILLE ET GEORGES HUGNET"
Stephan Balkenhol ,1957,0,Man with Boat,1995,"USD 50,000 - USD 70,000","USD 62,500",(233.7 x 69.9 x 48.3 cm.),18 Dec 2019,"9 Dec - 18 Dec 2019 | Online Auction 17637
First Open | Online"
Damien Hirst ,1965,0,Mickey,0,"GBP 15,000 – GBP 20,000","GBP 40,000",0,17 Sep 2015,"2015 | LIVE AUCTION 10555
PRINTS & MULTIPLES: FIRST IMPRESSION"
Albrecht Dürer ,1471,1528,"Saint Eustace (B. 57; M., Holl. 60; S. M. S. 32)",0,"GBP 80,000 – GBP 120,000","GBP 103,250",0,6 Dec 2012,"2012 | LIVE AUCTION 5701
OLD MASTER PRINTS"
Albert Marquet ,1875,1947,Le Grammont vu de Lausanne,1936,"GBP 20,000 – GBP 30,000","GBP 30,000",(21 x 30 cm.),28 Jun 2017,"2017 | LIVE AUCTION 14241
IMPRESSIONIST AND MODERN ART DAY SALE"
Paul Klee ,1879,1940,Ausblick aus e. Wald,1914,"USD 200,000 – USD 300,000","USD 225,000",(17.6 x 20.3 cm.),16 May 2018,"2018 | LIVE AUCTION 15972
IMPRESSIONIST AND MODERN ART WORKS ON PAPER"
